date,cases,cases_avg7_pc,deaths,deaths_avg7_pc
2020-01-21,1,NA,0,NA
2020-01-22,1,NA,0,NA
2020-01-23,1,NA,0,NA
2020-01-24,2,NA,0,NA
2020-01-25,3,NA,0,NA
2020-01-26,5,NA,0,NA
2020-01-27,5,NA,0,NA
2020-01-28,5,1.733043408400006e-6,0,0
2020-01-29,5,1.733043408400006e-6,0,0
2020-01-30,6,2.166304260500008e-6,0,0
2020-01-31,7,2.166304260500008e-6,0,0
2020-02-01,8,2.166304260500008e-6,0,0
2020-02-02,11,2.599565112600009e-6,0,0
2020-02-03,11,2.599565112600009e-6,0,0
2020-02-04,11,2.599565112600009e-6,0,0
2020-02-05,12,3.0328259647000102e-6,0,0
2020-02-06,12,2.599565112600009e-6,0,0
2020-02-07,12,2.1663042605000075e-6,0,0
2020-02-08,12,1.733043408400006e-6,0,0
2020-02-09,12,4.332608521000016e-7,0,0
2020-02-10,13,8.66521704200003e-7,0,0
2020-02-11,13,8.66521704200003e-7,0,0
2020-02-12,14,8.66521704200003e-7,0,0
2020-02-13,15,1.2997825563000043e-6,0,0
2020-02-14,15,1.2997825563000043e-6,0,0
2020-02-15,15,1.2997825563000043e-6,0,0
2020-02-16,15,1.2997825563000043e-6,0,0
2020-02-17,25,5.199130225200019e-6,0,0
2020-02-18,25,5.199130225200019e-6,0,0
2020-02-19,25,4.765869373100016e-6,0,0
2020-02-20,27,5.199130225200019e-6,0,0
2020-02-21,30,6.4989127815000224e-6,0,0
2020-02-22,30,6.4989127815000224e-6,0,0
2020-02-23,30,6.4989127815000224e-6,0,0
2020-02-24,43,7.798695337800028e-6,0,0
2020-02-25,45,8.665217042000032e-6,0,0
2020-02-26,60,1.5164129823500051e-5,0,0
2020-02-27,60,1.4297608119300053e-5,0,0
2020-02-28,65,1.5164129823500051e-5,0,0
2020-02-29,70,1.7330434084000063e-5,1,4.332608521000016e-7
2020-03-01,88,2.5129129421800092e-5,3,1.2997825563000043e-6
2020-03-02,104,2.642891197810009e-5,6,2.599565112600009e-6
2020-03-03,125,3.4660868168000126e-5,10,4.332608521000015e-6
2020-03-04,161,4.3759346062100145e-5,12,5.199130225200018e-6
2020-03-05,228,7.278782315280026e-5,12,5.199130225200018e-6
2020-03-06,311,1.065821696166004e-4,15,6.4989127815000224e-6
2020-03-07,428,1.551073850518005e-4,19,7.798695337800028e-6
2020-03-08,547,1.988667311139007e-4,22,8.231956189900028e-6
2020-03-09,748,2.7901998875240095e-4,26,8.665217042000032e-6
2020-03-10,1018,3.8690194092530137e-4,31,9.098477894100032e-6
2020-03-11,1263,4.774534590142016e-4,37,1.0831521302500038e-5
2020-03-12,1668,6.238956270240021e-4,43,1.3431086415100049e-5
2020-03-13,2221,8.275282275110028e-4,50,1.5164129823500051e-5
2020-03-14,2893,0.0010679880004265,60,1.7763694936100062e-5
2020-03-15,3591,0.0013188460337924,68,1.992999919660007e-5
2020-03-16,4497,0.0016242949345229,91,2.81619553865001e-5
2020-03-17,5896,0.0021134464365438,117,3.726043328060013e-5
2020-03-18,8334,0.00306358748519911,162,5.415760651250019e-5
2020-03-19,12372,0.00463762416087841,212,7.322108400490025e-5
2020-03-20,17978,0.00682689124653972,277,9.835021342670036e-5
2020-03-21,24486,0.00935540157939533,359,1.2954499477790045e-4
2020-03-22,33006,0.01274436796452154,456,1.681052106148006e-4
2020-03-23,43428,0.01686727823310515,576,2.1013151326850077e-4
2020-03-24,53850,0.02077659090160347,782,2.88118466646501e-4
2020-03-25,68472,0.02605544112358989,1051,3.8516889751690137e-4
2020-03-26,85440,0.03165750394124291,1350,4.930508496898017e-4
2020-03-27,102749,0.03672795569336922,1761,6.429591045164022e-4
2020-03-28,123788,0.04302366913523434,2288,8.357601837009029e-4
2020-03-29,142276,0.04734241330896716,2701,9.726706129645034e-4
2020-03-30,163689,0.05210438333439828,3347,0.0012005658211691
